Atalar_sozlari|Random_Ededer
Abad məclis aşığından bəllidir.|10
Abadan kənd tüstüsündən bəlli olar.|742
Abbas Abbasdan, Abbas da kor Abbasdan.|908
Abbasını bəyənməyən beş şahı çıxardar.|610
Abdal at mindi, özün bəy sandı.|846
Abdal düyündən, uşaq oyundan usanmaz.|20
Abır istəsən çox demə, sağlıq istəsən çox yemə.|171
Abır harda, çörək orda.|684
Abır-həya olan yerdə bərəkət də olar.|309
Abırlı abrından qorxar, abırsız nədən qorxar?!|333
Ac acı aldı, acdan ləlöyün törədi.|896
Ac acı dalayar, tox toxu yalayar.|859
Ac adam özünü oda vurar.|62
Ac adamı qurd yeməz.|412
Ac ayı oynamaz.|653
Ac deyər doymaram, tox deyər acmaram.|783
Ac doğrayar, tox yeyər.|236
Ac donuz darıdan çıxmaz.|896
Ac elə bilər hamı acdır, tox elə bilər hamı toxdur.|476
Ac əlinə düşəni yeyər, tox ağzına gələni deyər.|29
Ac hara, paxaç hara.|343
Ac it gəlmiş, tox itin yanın yalıyır.|524
Ac qarına bir nəfər, nəğmə oxurmu məgər?!|894
Ac qatıq istəməz, yuxulu yastıq.|345
Ac qılınca çapar.|990
Ac qudurğan olar, çılpaq oynağan.|753
Ac qurd sürünün ortasına girər.|926
Ac nə yeməz? Tox nə deməz?|85
Ac saxla, yalavac saxla, yaxşı saxla.|516
Ac toyuq yuxusunda darı görər.|918
Ac – yanından qaç!|299
Aca doqquz yorğan bürüyüblər, genə yuxulaya bilməyib.|686
Aca nə halal, nə haram?!|216
Acam, quyruq acıyam, bağır-öpkə acı deyiləm.|305
Acdan ummaq olmaz.|202
Acı dindirmə, toxu tərpətmə.|741
Acın andı and olmaz.|704
Acın gözü çörək təknəsində olar.|506
Acın imanı olmaz, toxun amanı.|520
Acın qarnı doyar, gözü doymaz.|984
Acın qursağında çörək dayanmaz.|951
Acın zəhləsi sudan gedər.|518
Acından dəyirmana baxır, kibirliyindən şahıd almır.|817
Acla əcəli gələn söyləşər.|166
Aclığında eldən yeyər, toxluğunda eldən deyər.|790
Aclıq adama oyun öyrədər.|674
Aclıq ayıya darayı oxudar.|886
Aclıq bir il gedər, minnət min il.|643
Aclıq sofiliyi pozar.|280
Aclıq yavanlıq istəməz, yuxu da yastıq.|568
Aclıqda darı çörəyi halvadan şirin olar.|385
Aclıqdan kimsə ölməz, ölən toxluqdan ölər.|145
Aclıqdan quduranı saxlamaq olar, toxluqdan quduranı saxlamaq olmaz.|228
Acı danışan şirin söz eşitməz.|291
Acını dadmayan şirini bilməz.|743
Acıq gələr üz saralar, acıq gedər üz qaralar.|861
Acıqla iş görən zərərin çəkər.|913
Acıqlı başda ağıl olmaz.|656
Acıqlı dilənçinin torbası boş qalar.|774
Acıqlı qalxan ziyanlı oturar.|483
Acıqnan dövlət yola getməz.|705
Açaram sandığı, tökərəm pambığı.|726
Açıq qaba it dəyər.|550
Açılmamış süfrənin bir eybi var, açılmışın min.|603
Ad adamı bəzəməz, adam adı bəzəyər.|757
Adı gözəl olanın özü də gözəl olar.|343
Adımı güvəc qoy, amma ocaq üstə qoyma.|631
Adımı sənə qoyum, səni yana-yana qoyum.|23
Adın nədir – Daşdəmir, yumşalısan, yumşalı.|4
Adam adamdı olmasa da pulu, eşşək eşşəkdi olmasa da çulu.|3
Adam adamın şeytanıdı.|262
Adam adıyla tanınar.|917
Adam aşını-işini bilməlidir.|127
Adam ağzından söz, qazan altından köz.|709
Adam hər düşməndən bir ağıl öyrənər.|84
Adam min acını udar bir şirinin xatirinə.|123
Adam olana bir söz yetər.|30
Adam öz-özünə eliyəni el yığıla eliyə bilməz.|825
Adam var – adamların naxşıdı, adam var – eşşək ondan yaxşıdı.|426
Adam var gözdən qızar, adam var sözdən qızar.|732
